super,improve
Food,Food  sometimes the food provided is lacking nutrients  The amount available is fine although as a raw vegan I find that basic whole foodstuffs such as nuts and seeds can be a little weak or missing altogether Also the fruit offered is extremely weak and unappetising to say the least I suggest a rise in food quality across the NHS as a remedy to combat depression anxiety and other common neuroses
Service Quality/Outcomes,Id like to feel well compared to how I feel with my anxieties They do it everything for a reason eg stop my medication  but I feel worse
Care/ Treatment,When i came for my appointment and i needed dressing they ordered them that day but didnt get them till 4 days later I know its not the clinics fault 
Couldn't be improved,nothing
Access to Services,Nothing except there are too many people to see and talk to me 
Staff/Staff Attitude,Better staffing ie availability of fully qualified staff all the time Not a criticism of this staff available  they have a difficult job with inadequate resources
Care/ Treatment,To not be judged on statistics ie more people 8 out of 10 are unmotivated so us who are have to wait around for them which is unfair                                                                                                                         
Couldn't be improved,Nothing
Staff/Staff Attitude,More of you
Care/ Treatment,You cud put me up on my meth when you say you are 
Couldn't be improved,All was fine for me
Service Quality/Outcomes,Open minded about nipple shields Public bf support for confidence building 
Couldn't be improved,Nothing
Privacy and Dignity,Use toilet in private without people watching you 
Couldn't be improved,nothing
Couldn't be improved,The service is excellent  no suggestions
Couldn't be improved,Nothing that I can think of
Care/ Treatment,I would look after them
Communication,Better communication about what is happening ie treatment phyiso doctor input etc
Couldn't be improved,Nothing very happy with the service Really happy
Couldn't be improved,It was and is amazing
Service Quality/Outcomes,Service first class thank you
Care/ Treatment,It can be difficult to make an appointment at short notice especially if you work 95pm
Couldn't be improved,Nothing
Privacy and Dignity,More privacy when discussing baby
Staff/Staff Attitude,Having more respect off some of the staff that treat you like a sick child rather than a proud father and grandad and husband and son
Communication,Print forms in colour
Communication,Email when closed
Access to Services,To have more time for therapy for the patient
Couldn't be improved,Nothing
Communication,Advertise the event better There were minimal details available
Service Quality/Outcomes,QMC wards need to be better with people with mental health
Couldn't be improved,Nothing all good
Care/ Treatment,Knowing help is available with problems at all times
Couldn't be improved,Nothing really
Couldn't be improved,Cant satisfied with my treatment
Couldn't be improved,No
Communication,Communication on arrival  my dad was moved wards and we didnt know what was happening and neither did the staff when we asked though it was Christmas dads belongings were missing  we came in an emergency and wasnt told re labelling things  ie shaver glasses
Couldn't be improved,Not much
Staff/Staff Attitude,More mental health team workers That is not saying its a bad thing but more would be helpful for the patients as well as the staff
Communication,better communication
Couldn't be improved,Everthing was alright nothing wrong
Care/ Treatment,Maybe have CPAs every 4 mnth instead of 6 mnth
Access to Services,The waiting list time to get into the system
Couldn't be improved,Nothing
Access to Services,Longer opening
Access to Services,Just the waiting time
Care/ Treatment,Safeguard patients property from other inquisitive patients which can be a bit unsettling  Otherwise all good
Couldn't be improved,No improvement needed
Communication,Fewer forms to fill in
Service Quality/Outcomes,Get more funding
Environment/Facilities,Noise
Couldn't be improved,Nothing
Staff/Staff Attitude,Spoken to like a patient not a prisoner
